Comment,Designator,Footprint,LCSC Part #
0.5p,C6,0402_CAP,C76912
0.8p,C5,0402_CAP,C76915
1k,R7,0402_RES,C11702
1k,R9,R0603,C4109
1k,R10,0402_RES,C11702
1u,C11 C12,CAPC1608X85,C15849
2k,R3,0402_RES,C4109
2k,R8,R0603,C25890
4.7n,L1,INDC1006X60N,C395070
4.7u,C4,CAPC1608X85,C19666
10k,R2 R4 R5 R6,0402_RES,C25744
10n,C16 C21,0402_CAP,C15195
10u,C19 C22,CAPC1608X85,C96446
12p,C8 C9,0402_CAP,C1547
13.7k,R1,0402_RES,C321298
18u,L2,INDUCTOR_6X6MM_TDK_VLC6045,C96939
22u,C18,CAPC3216X135,C12891
32MHz,U$1,BT-XTAL_2016_N,C2965582
47u,C17,CAPC3216X135,C96123
100n,C1 C2 C3 C10 C14 C15 C20 C23 C25 C28,0402_CAP,C1525
100p,C13,0402_CAP,C1546
AMS1117,U2,SOT229P700X180-4N,C6186
GREEN,D3,LED-0603,C965804
NRF52840-QIAA-R,IC1,NRF52840-QIAA,C190794
PMS7003,U3,PMS7003,C3975131
SHT45-AD1B-R3,U$2,SHT4X,C5221601
SS14F,D4,SODFL3617X108N,C7420316
TPS54331DR,U1,SOIC127P599X175-8N,C9865
TS-1088-AR02016,U$3 U$5,TS-1088-AR02016,C720477
WHITE,D2,LED-0603,C2290
U$4,U$4,U$4,C395849
J1,J1,J1,C240840
J4,J4,J4,C2937625
J2,J2,J2,C2937625